地区,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京,35943.25,35445.13,33106,29883,27041.2,24779.1,22926,21134.6,19024.7,17188.8,14964,12900.9,11813.1,10425.5,8387,7149.8,6252.5,5267.2,4525.7
天津,14007.99,14055.46,13362.9,12450.6,11477.2,10879.5,10640.6,9945.4,9043,8112.5,6830.8,5709.6,5182.4,4158.4,3538.2,3158.6,2621.1,2257.8,1926.9
石家庄,5935,5810,6082.62,6460.88,5927.73,5440.6,5170.27,4863.66,4500.2,4082.68,3401,3001,2838.37,2360.72,2026.63,1786.78,1554.9,1377.94,1186.81
太原,4153,4029,3884.48,3382.18,2955.6,2735.34,2531.09,2412.87,2311.4,2080.12,1778.1,1545,1468.09,1254.94,1013.65,893.16,640.5,515.71,432.89
呼和浩特,2801,2791,2903.5,2743.72,3173.59,3090.52,2894.05,2710.39,2475.6,2177.27,1865.7,1644,1316.37,1101.13,900.08,743.66,512.1,406.2,316.7
沈阳,6572,6470,6292.4,5864.97,5546.45,7272.31,7098.71,7158.57,6602.6,5915.71,5017.5,4269,3860.47,3221.15,2519.63,2084.13,1900.69,1603.38,1400.02
大连,7030,7002,7668.48,7363.92,6810.2,7731.64,7655.58,7650.79,7002.8,6150.63,5158.2,4350,3858.25,3130.68,2569.67,2152.23,1961.76,1632.59,1406.1
长春,6638,5904,7175.71,6530.03,5986.42,5530.03,5342.43,5003.18,4456.6,4003.08,3329,2849,2561.9,2089.09,1741.19,1678.47,1535.01,1338.04,1150.18
哈尔滨,5184,5249,6300.48,6355.05,6101.61,5751.21,5340.07,5017.05,4550.2,4242.19,3664.9,3175,2868.19,2436.8,2094.08,1830.45,1680.46,1414.8,1232.13
上海,38963.3,37987.55,36011.8,32925,29887,26887,25269.8,23204.1,21305.6,20009.7,17915.4,15742.4,14536.9,12878.7,10598.9,9197.1,8101.6,6804,5795
南京,14818,14031,12820.4,11715.1,10503.02,9720.77,8820.75,8011.78,7201.6,6145.52,5130.7,4230,3775,3283.73,2773.78,2411.11,1910,1576.33,1297.57
杭州,16106,15373,13509.15,12603.36,11313.72,10050.21,9206.16,8343.52,7802,7019.06,5949.2,5088,4781.16,4100.17,3441.51,2942.65,2515,2099.77,1781.83
宁波,12409,11985,10745.46,9842.1,8686.49,8003.61,7610.28,7128.87,6582.2,6059.24,5163,4329,3964.05,3435,2874.44,2449.31,2158.04,1786.85,1500.34
合肥,10046,9409,7822.91,7213.45,6274.38,5660.27,5157.97,4672.91,4164.3,3636.6,2701.6,2102,1664.84,1334.61,1073.76,853.57,589.7,484.96,412.81
福州,10020,9392,7856.81,7103.4,6197.64,5618.08,5169.16,4678.5,4218.3,3736.38,3123.4,2604,2284.16,1974.58,1664.05,1476.31,1548.46,1347.68,1160.53
厦门,6384,5995,4791.41,4351.7,3784.27,3466.03,3273.58,3018.16,2817.1,2539.31,2060.1,1737,1560.02,1387.85,1168.02,1006.58,883.21,759.69,648.36
南昌,5746,5596,5274.67,5003.19,4354.99,4000.01,3667.96,3336.03,3000.5,2688.87,2200.1,1838,1660.08,1389.89,1183.9,1007.7,770.46,641.02,552.37
济南,10141,9443,7856.56,7201.96,6536.12,6100.23,5770.6,5230.19,4803.7,4406.29,3910.5,3351,3017.42,2562.81,2185.09,1876.61,1618.87,1365.33,1200.83
青岛,12401,11741,12001.52,11037.28,10011.29,9300.07,8692.1,8006.6,7302.1,6615.6,5666.2,4854,4436.18,3786.52,3206.58,2695.82,2163.8,1780.42,1518.17
郑州,12004,11590,10143.32,9130.2,8113.97,7311.52,6776.99,6201.9,5549.8,4979.85,4040.9,3308,3003.99,2486.75,2013.48,1660.6,1377.89,1102.28,928.29
武汉,15616,16223,14847.29,13410.34,11912.61,10905.6,10069.48,9051.27,8003.8,6762.2,5565.9,4621,3960.08,3141.9,2590.76,2238,1956,1662.18,1492.74
长沙,12143,11574,11003.41,10535.51,9356.91,8510.13,7824.81,7153.13,6399.9,5619.33,4547.1,3745,3000.98,2190.25,1798.96,1519.9,1133.88,929.49,812.85
广州,25019,23629,22859.35,21503.15,19547.44,18100.41,16706.87,15420.14,13551.2,12423.44,10748.3,9138,8215.82,7109.18,6073.83,5154.23,4115.8,3496.88,3001.48
深圳,27670,26927,24221.98,22490.06,19492.6,17502.86,16001.82,14500.23,12950.1,11505.53,9581.5,8201,7806.54,6801.57,5813.56,4950.91,3422.8,2895.41,2256.83
南宁,4726,4507,4026.91,4118.83,3703.33,3410.09,3148.3,2803.54,2503.2,2211.4,1800.3,1525,1316.21,1069.01,870.15,723.36,588.86,502.53,356.07
海口,1792,1672,1510.51,1390.58,1257.67,1161.96,1091.7,904.64,818.8,713.3,595.1,490,443.18,393.69,350.12,301.35,253.02,228.86,162.7
重庆,25041.43,23605.77,21588.8,20066.3,18023,16040.5,14623.8,13027.6,11595.4,10161.2,8065.3,6651.2,5899.5,4770.7,3900.3,3448.4,3059.5,2615.6,2279.8
成都,17717,17013,15342.77,13889.39,12170.23,10801.16,10056.59,9108.89,8138.9,6854.58,5551.3,4503,3900.99,3324.17,2750.48,2370.76,2185.73,1870.8,1667.1
贵阳,4312,4040,3798.45,3537.96,3157.7,2891.16,2497.27,2085.42,1700.3,1383.07,1121.8,972,811.05,693.72,602.88,525.62,443.63,380.92,336.37
昆明,6734,6476,5206.9,4857.64,4300.08,3968.01,3712.99,3415.31,3011.1,2509.58,2120.4,1809,1511.68,1405.05,1207.29,1061.55,942.14,812.01,730.08
西安,10020,9321,8349.86,7469.85,6257.18,5801.2,5492.64,4884.13,4366.1,3864.21,3241.5,2724,2190.04,1763.73,1473.68,1270.14,1095.87,941.6,823.5
兰州,2887,2837,2732.94,2523.54,2264.23,2095.99,2000.94,1776.28,1563.8,1360.03,1100.4,926,846.28,732.76,638.47,567.04,504.65,440.08,386.78
西宁,1373,1328,1286.41,1284.91,1248.17,1131.62,1065.78,978.53,851.1,770.7,628.3,501,422.19,342.46,281.61,237.57,174.74,144.83,121.34
银川,1964,1897,1901.48,1803.26,1617.71,1493.86,1388.62,1289.02,1150.9,986.68,769.4,578,514.11,408.6,335.29,288.5,188.97,156.78,133.46
乌鲁木齐,3337,3413,3099.77,2743.82,2458.98,2631.64,2461.47,2202.85,2004.1,1690.03,1338.5,1095,1020.35,820.28,654.3,562.5,484.26,408.58,354.44
